Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,38.709999,38.930000,38.470001,38.849998,38.575485,9331700
2023-02-24,38.369999,38.490002,37.944000,38.130001,37.860577,8159000
2023-02-27,38.669998,38.770000,38.020000,38.189999,37.920151,4816100
2023-02-28,38.220001,38.680000,38.070000,38.209999,37.940010,4202100
2023-03-01,37.970001,38.009998,37.375000,37.619999,37.354179,7279000
2023-03-02,37.349998,38.169998,37.299999,38.110001,37.840717,5067200
2023-03-03,38.400002,38.834999,38.290001,38.750000,38.476192,4420200
2023-03-06,38.959999,38.959999,38.529999,38.599998,38.327251,4248500
2023-03-07,38.599998,38.669998,37.599998,37.630001,37.364109,5385900
2023-03-08,37.650002,38.389999,37.619999,38.160000,37.890362,4473000
2023-03-09,38.250000,38.290001,37.209999,37.290001,37.026512,5683500
2023-03-10,37.250000,37.340000,35.950001,36.099998,35.844917,11736200
2023-03-13,35.869999,37.220001,35.814999,36.680000,36.420822,16936000
2023-03-14,37.250000,37.410000,36.625000,37.060001,36.798138,7719000
2023-03-15,36.450001,37.205002,36.450001,37.080002,36.817997,14961500
2023-03-16,36.810001,37.250000,36.419998,37.080002,36.817997,8068700
2023-03-17,36.939999,36.959999,36.209999,36.230000,35.973999,8692500
2023-03-20,36.060001,36.493000,35.869999,36.360001,36.360001,4962800
2023-03-21,36.610001,36.639999,35.764000,36.150002,36.150002,4952600
2023-03-22,35.889999,35.919998,34.804001,34.830002,34.830002,8042000
2023-03-23,34.939999,35.424999,34.509998,34.619999,34.619999,7494000
2023-03-24,34.410000,35.520000,34.340000,35.509998,35.509998,8242000
2023-03-27,35.730000,35.840000,35.340000,35.389999,35.389999,5108800
2023-03-28,35.110001,35.470001,35.000000,35.270000,35.270000,5117800
2023-03-29,35.619999,36.130001,35.619999,36.110001,36.110001,4108600
2023-03-30,36.500000,36.675999,36.430000,36.580002,36.580002,4383800
2023-03-31,36.740002,37.400002,36.705002,37.380001,37.380001,6971500
2023-04-03,37.290001,37.555000,36.825001,37.029999,37.029999,6452000
2023-04-04,37.049999,37.215000,36.805000,37.040001,37.040001,5639900
2023-04-05,36.970001,37.230000,36.820000,36.849998,36.849998,4476400
2023-04-06,36.980000,37.105000,36.650002,37.099998,37.099998,4053400
2023-04-10,36.880001,37.299999,36.709999,37.290001,37.290001,3814600
2023-04-11,37.380001,37.770000,37.209999,37.470001,37.470001,9963400
2023-04-12,37.849998,37.880001,37.294998,37.360001,37.360001,6764800
2023-04-13,37.410000,37.411999,36.889000,37.240002,37.240002,4650800
2023-04-14,37.299999,37.439999,36.340000,36.599998,36.599998,4853400
2023-04-17,36.619999,37.430000,36.619999,37.430000,37.430000,4601000
2023-04-18,37.500000,37.500000,37.161999,37.369999,37.369999,3479300
2023-04-19,37.130001,37.500099,37.060001,37.485001,37.485001,2004834
